user_id,date,category,amount,type
User_1,9/1/2024 12:04,Food & Drink,50000,Expense
User_1,9/2/2024 14:43,Transportation,50000,Expense
User_1,9/3/2024 10:26,Digital,52000,Expense
User_1,9/3/2024 16:26,Transportation,40000,Expense
User_1,9/4/2024 8:22,Income,200000,Income
User_1,9/4/2024 8:57,Transportation,50000,Expense
User_1,9/5/2024 12:20,Transportation,30000,Expense
User_1,9/6/2024 7:14,Income,500000,Income
User_1,9/6/2024 11:59,Food & Drink,40000,Expense
User_1,9/7/2024 12:23,Food & Drink,30000,Expense
User_1,9/8/2024 18:46,Food & Drink,20000,Expense
User_1,9/9/2024 8:56,Transportation,40000,Expense
User_1,9/10/2024 17:00,Transportation,20000,Expense
User_1,9/11/2024 12:02,Food & Drink,30000,Expense
User_1,9/12/2024 10:08,Food & Drink,30000,Expense
User_1,9/13/2024 8:59,Transportation,40000,Expense
User_1,9/14/2024 8:37,Income,250000,Income
User_1,9/14/2024 15:21,Food & Drink,40000,Expense
User_1,9/15/2024 20:46,Food & Drink,50000,Expense
User_1,9/16/2024 8:23,Transportation,30000,Expense
User_1,9/17/2024 16:46,Food & Drink,20000,Expense
User_1,9/18/2024 16:16,Transportation,20000,Expense
User_1,9/19/2024 8:00,Income,200000,Income
User_1,9/19/2024 20:47,Transportation,50000,Expense
User_1,9/20/2024 11:07,Transportation,50000,Expense
User_1,9/21/2024 20:07,Food & Drink,30000,Expense
User_1,9/22/2024 7:43,Income,250000,Income
User_1,9/22/2024 13:55,Food & Drink,20000,Expense
User_1,9/23/2024 13:31,Food & Drink,50000,Expense
User_1,9/24/2024 10:55,Food & Drink,30000,Expense
User_1,9/25/2024 19:01,Food & Drink,40000,Expense
User_1,9/26/2024 9:48,Food & Drink,50000,Expense
User_1,9/27/2024 11:09,Food & Drink,30000,Expense
User_1,9/28/2024 15:23,Transportation,40000,Expense
User_1,10/1/2024 18:12,Transportation,40000,Expense
User_1,10/2/2024 16:23,Food & Drink,20000,Expense
User_1,10/3/2024 21:10,Digital,52000,Expense
User_1,10/3/2024 9:15,Food & Drink,40000,Expense
User_1,10/4/2024 8:10,Income,500000,Income
User_1,10/4/2024 17:35,Food & Drink,50000,Expense
User_1,10/5/2024 10:37,Transportation,20000,Expense
User_1,10/6/2024 11:20,Food & Drink,50000,Expense
User_1,10/7/2024 8:03,Income,250000,Income
User_1,10/7/2024 10:40,Transportation,20000,Expense
User_1,10/8/2024 9:34,Income,250000,Income
User_1,10/8/2024 20:45,Food & Drink,20000,Expense
User_1,10/9/2024 16:21,Food & Drink,50000,Expense
User_1,10/10/2024 12:38,Transportation,30000,Expense
User_1,10/11/2024 15:21,Transportation,40000,Expense
User_1,10/12/2024 18:10,Food & Drink,30000,Expense
User_1,10/13/2024 19:05,Transportation,20000,Expense
User_1,10/14/2024 13:58,Food & Drink,50000,Expense
User_1,10/15/2024 10:50,Food & Drink,30000,Expense
User_1,10/16/2024 17:25,Transportation,30000,Expense
User_1,10/17/2024 7:23,Income,250000,Income
User_1,10/17/2024 13:25,Food & Drink,20000,Expense
User_1,10/18/2024 10:58,Transportation,30000,Expense
User_1,10/19/2024 18:39,Food & Drink,30000,Expense
User_1,10/20/2024 9:25,Food & Drink,50000,Expense
User_1,10/21/2024 16:46,Food & Drink,30000,Expense
User_1,10/22/2024 8:42,Transportation,20000,Expense
User_1,10/23/2024 11:47,Transportation,50000,Expense
User_1,10/24/2024 17:49,Food & Drink,20000,Expense
User_1,10/25/2024 9:05,Food & Drink,50000,Expense
User_1,10/26/2024 16:16,Transportation,50000,Expense
User_1,10/27/2024 8:09,Income,200000,Income
User_1,10/27/2024 19:43,Food & Drink,40000,Expense
User_1,10/28/2024 8:47,Food & Drink,50000,Expense
User_1,11/1/2024 8:50,Income,500000,Income
User_1,11/1/2024 10:18,Transportation,30000,Expense
User_1,11/2/2024 20:01,Food & Drink,20000,Expense
User_1,11/3/2024 20:42,Transportation,30000,Expense
User_1,11/4/2024 8:13,Food & Drink,40000,Expense
User_1,11/5/2024 9:02,Income,200000,Income
User_1,11/5/2024 15:31,Transportation,20000,Expense
User_1,11/6/2024 19:59,Food & Drink,50000,Expense
User_1,11/7/2024 14:02,Digital,52000,Expense
User_1,11/7/2024 17:55,Food & Drink,50000,Expense
User_1,11/8/2024 20:29,Food & Drink,50000,Expense
User_1,11/9/2024 10:30,Transportation,30000,Expense
User_1,11/10/2024 9:42,Income,250000,Income
User_1,11/10/2024 12:38,Food & Drink,50000,Expense
User_1,11/11/2024 8:49,Food & Drink,40000,Expense
User_1,11/12/2024 11:16,Transportation,40000,Expense
User_1,11/13/2024 16:59,Food & Drink,50000,Expense
